group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	URL	OL_transmitter_pred	FW_transmitter_pred	Notes
OL_connecting	Lat3	NA	5-HT-IR Tan	NA	4	NA	NA	5	2-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Lat3.json	unclear	serotonin	NA
OL_connecting	Lat4	NA	5-HT-IR Tan	NA	1	NA	NA	5	2-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Lat4.json	unclear	serotonin	NA
OL_connecting	Lawf1	Lawf1	Lawf1	NA	184	151	199	156	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Lawf1.json	acetylcholine	acetylcholine	NA
OL_connecting	Lawf2	Lawf2	Lawf2	NA	188	167	145	168	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Lawf2.json	acetylcholine	acetylcholine	NA
OL_connecting	LOLP1	LLPt	CB3822	NA	32	36	32	36	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/LOLP1.json	gaba	gaba	NA
OL_connecting	LT58	NA	LT58	LT58	1	NA	1	1	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/LT58.json	glutamate	glutamate	NA
OL_connecting	LT88	NA	cM10	NA	1	NA	1	1	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/LT88.json	glutamate	gaba	NA
OL_connecting	MeLo1	MLt1	CB3833	NA	63	44	48	44	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo1.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo10	LMt2	CB3834	NA	30	27	30	27	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo10.json	glutamate	glutamate	NA
OL_connecting	MeLo11	LMt4	CB3820	NA	27	20	62	64	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo11.json	glutamate	glutamate	NA
OL_connecting	MeLo12	LMt1	CB3820	NA	25	22	62	64	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo12.json	glutamate	glutamate	NA
OL_connecting	MeLo13	LMa1	CB3820	NA	37	28	62	64	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo13.json	glutamate	glutamate	NA
OL_connecting	MeLo14	LMt3	CB3821	NA	20	16	17	18	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo14.json	glutamate	glutamate	NA
OL_connecting	MeLo2	MLt3	CB3836	NA	71	55	51	55	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo2.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo3a	MLt2	NA	NA	57	47	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo3a.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo3b	MLt5	NA	NA	40	36	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo3b.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo4	MLt6	NA	NA	34	29	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo4.json	acetylcholine	acetylcholine	"A few FlyWire MLt6 appear to be Tm cells (720575940618739358, 720575940617918747,720575940624718775)"
OL_connecting	MeLo5	MLt8	NA	NA	19	14	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo5.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo6	MLt7	NA	NA	30	23	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo6.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo7	MLt4	NA	NA	48	44	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo7.json	acetylcholine	acetylcholine	NA
OL_connecting	MeLo8	LMa2	CB3824	NA	23	20	26	30	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo8.json	gaba	gaba	NA
OL_connecting	MeLo9	LMa5	CB3818	NA	42	34	45	38	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/MeLo9.json	glutamate	glutamate	NA
OL_connecting	T1	T1	T1	NA	892	731	645	745	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T1.json	unclear	acetylcholine	NA
OL_connecting	T2	T2	T2	NA	822	722	738	716	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T2.json	acetylcholine	acetylcholine	NA
OL_connecting	T2a	T2a	T2a	NA	939	866	910	870	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T2a.json	acetylcholine	acetylcholine	NA
OL_connecting	T3	T3	T3	NA	976	824	825	790	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T3.json	acetylcholine	acetylcholine	NA
OL_connecting	T4a	T4a	T4a	NA	849	737	729	734	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T4a.json	acetylcholine	acetylcholine	NA
OL_connecting	T4b	T4b	T4b	NA	846	748	756	751	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T4b.json	acetylcholine	acetylcholine	NA
OL_connecting	T4c	T4c	T4c	NA	883	841	850	842	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T4c.json	acetylcholine	acetylcholine	NA
OL_connecting	T4d	T4d	T4d	NA	860	777	802	776	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T4d.json	acetylcholine	acetylcholine	NA
OL_connecting	T5a	T5a	T5a	NA	838	743	742	740	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T5a.json	acetylcholine	acetylcholine	NA
OL_connecting	T5b	T5b	T5b	NA	852	760	758	762	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T5b.json	acetylcholine	acetylcholine	NA
OL_connecting	T5c	T5c	T5c	NA	858	767	763	766	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T5c.json	acetylcholine	acetylcholine	NA
OL_connecting	T5d	T5d	T5d	NA	808	727	740	727	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/T5d.json	acetylcholine	acetylcholine	NA
OL_connecting	Tlp11	Tlp5	NA	NA	32	27	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tlp11.json	glutamate	glutamate	NA
OL_connecting	Tlp12	Tlp1	Tlp1	NA	68	67	68	65	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tlp12.json	glutamate	glutamate	NA
OL_connecting	Tlp13	Tlp4	Tlp4	NA	58	47	44	50	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tlp13.json	glutamate	glutamate	NA
OL_connecting	Tlp14	Tlp14	Tlp6	NA	30	29	27	29	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tlp14.json	glutamate	glutamate	NA
OL_connecting	Tm1	Tm1	Tm1	NA	890	774	773	771	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm1.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm12	Tm25	Tm12	NA	494	352	367	354	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm12.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm16	Tm16	Tm16	NA	197	173	168	175	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm16.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm2	Tm2	Tm2	NA	883	766	765	763	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm2.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm20	Tm20	Tm20	NA	876	744	746	741	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm20.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm26	NA	NA	NA	50	NA	NA	NA	unmatched	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm26.json	acetylcholine	NA	NA
OL_connecting	Tm29	Tm5d	CB3851	NA	276	169	373	374	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm29.json	glutamate	acetylcholine	NA
OL_connecting	Tm3	Tm3	Tm3	NA	1037	858	889	857	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm3.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm30	Tm31	NA	NA	61	53	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm30.json	gaba	gaba	NA
OL_connecting	Tm31	Tm35	NA	NA	55	60	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm31.json	glutamate	glutamate	NA
OL_connecting	Tm32	Tm33	NA	NA	59	56	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm32.json	glutamate	glutamate	NA
OL_connecting	Tm33	Tm37	NA	NA	139	113	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm33.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm34	Tm32	NA	NA	88	75	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm34.json	glutamate	glutamate	NA
OL_connecting	Tm35	Tm34	NA	NA	43	36	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm35.json	glutamate	glutamate	NA
OL_connecting	Tm36	Tm8b	NA	NA	77	59	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm36.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm37	Tm5e	CB3864	NA	268	238	255	246	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm37.json	glutamate	glutamate	NA
OL_connecting	Tm38	Tm8a	Tm8	NA	116	118	117	117	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm38.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm39	Tm7	CB3851	NA	200	209	373	374	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm39.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm4	Tm4	Tm4	NA	833	733	755	734	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm4.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm40	NA	CB3851	NA	83	NA	373	374	3-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm40.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm5a	Tm5a	Tm5a	NA	307	218	229	221	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm5a.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm5b	Tm5b	CB3852	NA	262	222	202	206	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm5b.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm5c	Tm5c	Tm5c	NA	374	308	297	310	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm5c.json	glutamate	glutamate	NA
OL_connecting	Tm5Y	Tm5f	Tm5Y	NA	463	399	407	401	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm5Y.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm6	Tm21	Tm6	NA	770	620	665	632	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm6.json	acetylcholine	acetylcholine	NA
OL_connecting	Tm9	Tm9	Tm9	NA	887	753	756	750	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Tm9.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY10	TmY10	CB3816	NA	278	222	204	222	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY10.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY13	TmY11	TmY11	NA	211	178	195	176	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY13.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY14	TmY14	TmY14	NA	234	185	185	185	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY14.json	glutamate	glutamate	NA
OL_connecting	TmY15	TmY15	TmY15	NA	110	149	106	119	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY15.json	gaba	gaba	NA
OL_connecting	TmY16	TmY16	TmY16	NA	80	75	73	76	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY16.json	glutamate	gaba	NA
OL_connecting	TmY17	TmY31	TmYem1	NA	200	156	161	155	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY17.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY18	Tm27	TmY18	NA	694	560	569	559	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY18.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY19a	LMa4 + some TmY15 + a few LMa3	NA	NA	43	NA	NA	NA	1-to-3	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY19a.json	gaba	gaba	apparent TmY19a matches include all LMa4 but also several Matsliah TmY15 and a few LMa3
OL_connecting	TmY19b	LMa3	NA	NA	17	22	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY19b.json	gaba	gaba	most LMa3 appear to match TmY19b
OL_connecting	TmY20	TmY20	TmY20	NA	167	140	141	142	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY20.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY21	Tm36	NA	NA	189	141	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY21.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY3	TmY3	TmY3	NA	409	359	374	360	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY3.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY4	TmY4	TmY4	NA	288	211	215	211	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY4.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY5a	TmY5a	TmY5a	NA	678	572	532	543	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY5a.json	glutamate	glutamate	NA
OL_connecting	TmY9a	TmY9q__perp	TmY9	NA	230	189	371	356	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY9a.json	acetylcholine	acetylcholine	NA
OL_connecting	TmY9b	TmY9q	TmY9	NA	266	172	371	356	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/TmY9b.json	acetylcholine	acetylcholine	NA
OL_connecting	Y11	Y11	CB3846	NA	76	68	58	92	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Y11.json	glutamate	glutamate	NA
OL_connecting	Y12	Y12	NA	NA	89	96	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Y12.json	glutamate	glutamate	NA
OL_connecting	Y13	Y1	Y1	NA	99	82	85	80	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Y13.json	glutamate	glutamate	NA
OL_connecting	Y14	Y4	Y4	NA	104	79	70	79	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Y14.json	glutamate	glutamate	NA
OL_connecting	Y3	Y3	Y3	NA	322	305	286	290	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Y3.json	acetylcholine	acetylcholine	NA
OL_intrinsic	aMe6b	NA	NA	NA	1	NA	NA	NA	unmatched	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/aMe6b.json	acetylcholine	NA	"FlyWire v783 ids confirmed as 720575940624333706, 720575940616635458. NT pred also matches."
OL_intrinsic	Cm-DRA	Sm28	NA	NA	3	3	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm-DRA.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm1	Sm02	NA	NA	231	195	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm1.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm10	Sm10	NA	NA	45	43	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm10.json	gaba	gaba	NA
OL_intrinsic	Cm11a	Sm19	CB3832	NA	40	27	88	85	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm11a.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm11b	Sm20	CB3832	NA	30	28	88	85	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm11b.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm11c	Sm21	CB3832	NA	23	21	88	85	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm11c.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm11d	Sm26	CB3832	NA	9	10	88	85	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm11d.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm12	Sm16	CB3825	NA	35	34	34	35	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm12.json	gaba	gaba	NA
OL_intrinsic	Cm13	Sm22	CB3853	NA	27	23	25	23	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm13.json	glutamate	glutamate	NA
OL_intrinsic	Cm14	Sm23	CB3855	NA	23	22	17	20	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm14.json	gaba	gaba	NA
OL_intrinsic	Cm15	Sm13	NA	NA	22	20	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm15.json	gaba	gaba	NA
OL_intrinsic	Cm16	Sm14	NA	NA	17	18	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm16.json	glutamate	glutamate	NA
OL_intrinsic	Cm17	Sm27	NA	NA	16	7	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm17.json	gaba	gaba	NA
OL_intrinsic	Cm18	NA	NA	NA	14	NA	NA	NA	unmatched	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm18.json	glutamate	NA	"FlyWire candidates include 720575940605652140,720575940623633288,720575940626966372,720575940632462988,720575940638063984,720575940653074166"
OL_intrinsic	Cm19	Sm31	NA	NA	14	12	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm19.json	gaba	gaba	NA
OL_intrinsic	Cm2	Sm01	NA	NA	203	143	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm2.json	acetylcholine	acetylcholine	NA
OL_intrinsic	Cm20	Sm17	NA	NA	13	24	NA	NA	2-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm20.json	gaba	gaba	NA
OL_intrinsic	Cm21	Sm30	CB3817	NA	13	12	14	12	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm21.json	gaba	gaba	NA
OL_intrinsic	Cm22	Sm17	NA	NA	10	24	NA	NA	2-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm22.json	gaba	gaba	NA
OL_intrinsic	Cm23	Sm25	NA	NA	8	9	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm23.json	glutamate	glutamate	NA
OL_intrinsic	Cm24	Sm29	NA	NA	5	5	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm24.json	glutamate	glutamate	NA
OL_intrinsic	Cm25	Sm33	NA	NA	3	3	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm25.json	glutamate	gaba	NA
OL_intrinsic	Cm26	NA	NA	NA	6	NA	NA	NA	unmatched	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm26.json	glutamate	NA	NA
OL_intrinsic	Cm27	Sm24	NA	NA	5	4	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm27.json	glutamate	glutamate	NA
OL_intrinsic	Cm28	Sm34	NA	NA	6	6	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm28.json	unclear	glutamate	NA
OL_intrinsic	Cm29	Sm36	NA	NA	3	1	NA	NA	1-to-1	https://neuroglancer-demo.appspot.com/#!gs://flyem-optic-lobe/v1.0/cross-dataset-comparison/Cm29.json	gaba	gaba	NA
